player_name,total_distance,multiplier,Team
Wilmer Flores,52545,413.740157480315,Arizona
Yandy Diaz,52384,412.472440944882,Tampa Bay
Billy Hamilton,52318,411.952755905512,Atlanta
Andrelton Simmons,52315,411.929133858268,Los Angeles
Victor Caratini,51962,409.149606299213,Chicago
Jordy Mercer,51856,408.314960629921,Detroit
Ronny Rodriguez,51843,408.212598425197,Detroit
Jordan Luplow,51818,408.015748031496,Cleveland
Josh VanMeter,51432,404.976377952756,Cincinnati
Curtis Granderson,51186,403.03937007874,Miami
Tommy La Stella,51071,402.133858267717,Los Angeles
Chris Davis,50905,400.826771653543,Baltimore
Jonathan Lucroy,50259,395.740157480315,Chicago
Cameron Maybin,50203,395.299212598425,New York
Yonder Alonso,49883,392.779527559055,Colorado
David Bote,49647,390.92125984252,Chicago
Adeiny Hechavarria,49639,390.858267716535,Atlanta
Logan Forsythe,49450,389.370078740157,
Jake Marisnick,49329,388.417322834646,Houston
Adam Haseley,49118,386.755905511811,Philadelphia
Joey Wendle,49055,386.259842519685,Tampa Bay
Tyler Naquin,48989,385.740157480315,
Dylan Moore,48286,380.204724409449,Seattle
Ehire Adrianza,48264,380.031496062992,
Martin Maldonado,48184,379.40157480315,Houston
Justin Upton,48160,379.212598425197,
Brandon Lowe,47788,376.283464566929,Tampa Bay
Matt Joyce,47784,376.251968503937,
Juan Lagares,47736,375.874015748031,New York
Addison Russell,47551,374.417322834646,Chicago
Derek Dietrich,46602,366.944881889764,Cincinnati
Jason Castro,46414,365.464566929134,Minnesota
Ian Kinsler,46228,364,
Will Smith,46058,362.661417322835,Los Angeles
Jon Berti,45840,360.944881889764,Miami
Dwight Smith Jr,45173,355.692913385827,
Austin Romine,45106,355.165354330709,New York
Garrett Hampson,44928,353.763779527559,Colorado
Aristides Aquino,44800,352.755905511811,Cincinnati
Tim Locastro,44484,350.267716535433,Arizona
Byron Buxton,44308,348.88188976378,
Fernando Tatis Jr.,44162,347.732283464567,
Carlos Correa,44124,347.433070866142,Houston
Francisco Mejia,44030,346.692913385827,San Diego
Luis Urias,43954,346.094488188976,San Diego
A.J. Pollock,43649,343.692913385827,Los Angeles
Jake Lamb,43601,343.314960629921,Arizona
Tony Kemp,43360,341.417322834646,Chicago
Aaron Hicks,42812,337.102362204724,
Gordon Beckham,42585,335.314960629921,Detroit
Tyler Flowers,42546,335.007874015748,Atlanta
Tyler White,42240,332.59842519685,
Richie Martin,42081,331.346456692913,Baltimore
Martin Prado,41978,330.535433070866,Miami
Austin Dean,41798,329.11811023622,Miami
Ryan Cordell,41703,328.370078740157,Chicago
Ty France,41246,324.771653543307,San Diego
Gerardo Parra,41100,323.622047244094,Washington
Aledmys Diaz,40292,317.259842519685,Houston
Curt Casali,39645,312.165354330709,Cincinnati
Alex Dickerson,39519,311.173228346457,San Francisco
Greg Allen,39409,310.307086614173,Cleveland
Guillermo Heredia,39193,308.606299212598,Tampa Bay
Sandy Leon,39143,308.212598425197,Boston
Tim Beckham,38924,306.488188976378,
Mike Zunino,38643,304.275590551181,Tampa Bay
Billy McKinney,38184,300.661417322835,Toronto
Johan Camargo,38117,300.133858267717,
Matt Wieters,37952,298.834645669291,St. Louis
Jeff Mathis,37935,298.700787401575,
Jon Jay,37625,296.259842519685,
Russell Martin,37250,293.307086614173,Los Angeles
Isan Diaz,36601,288.196850393701,Miami
Matt Thaiss,36560,287.874015748031,Los Angeles
Jacob Stallings,36372,286.393700787402,Pittsburgh
Jake Cave,36333,286.086614173228,Minnesota
Adam Engel,36143,284.590551181102,Chicago
Kyle Farmer,36062,283.952755905512,Cincinnati
Mike Freeman,35786,281.779527559055,Cleveland
Isiah Kiner-Falefa,35596,280.283464566929,Texas
Chance Sisco,35533,279.787401574803,Baltimore
Dominic Smith,35188,277.070866141732,New York
Hernan Perez,35112,276.472440944882,Milwaukee
Bubba Starling,34860,274.488188976378,Kansas City
Michael Brosseau,34362,270.566929133858,
Welington Castillo,34361,270.55905511811,Chicago
Scooter Gennett,34279,269.913385826772,
Travis Demeritte,33902,266.944881889764,Detroit
Sam Travis,33747,265.724409448819,Boston
Joey Gallo,33304,262.236220472441,
Clint Frazier,33204,261.448818897638,New York
Trent Grisham,33050,260.236220472441,Milwaukee
Brandon Nimmo,32713,257.582677165354,New York
Willians Astudillo,32601,256.700787401575,Minnesota
Josh Rojas,32353,254.748031496063,Arizona
Manny Pina,32246,253.905511811024,Milwaukee
Shed Long,31880,251.023622047244,Seattle
Travis Shaw,31746,249.968503937008,Milwaukee
Ian Happ,30910,243.385826771654,Chicago
Nate Lowe,30832,242.771653543307,Tampa Bay
David Freese,30693,241.677165354331,Los Angeles
Humberto Arteaga,30612,241.03937007874,Kansas City
